iid	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
1	0	150	0	150	NOC
2	0	150	0	150	NOC
3	0	150	11	150	MOD
4	0	150	0	150	NOC
5	24	150	60	150	MOD
6	0	150	0	150	NOC
7	0	150	0	150	NOC
8	0	150	0	150	NOC
9	0	150	0	150	NOC
10	0	150	37	150	MOD
11	0	150	0	150	NOC
12	0	150	0	150	NOC
13	0	150	0	150	NOC
14	0	150	0	150	NOC
15	0	141	0	141	NOC
16	1	150	1	150	NOC
17	0	150	0	150	NOC
18	0	150	0	150	NOC
19	0	150	0	150	NOC
20	0	150	0	150	NOC
21	0	150	0	150	NOC
22	0	150	0	150	NOC
23	0	150	0	150	NOC
24	0	150	0	150	NOC
25	0	150	0	150	NOC
26	0	150	0	150	NOC
27	4	150	39	150	MOD
28	0	150	0	150	NOC
29	0	150	0	150	NOC
30	0	150	0	150	NOC
31	0	150	0	150	NOC
32	0	150	9	150	MOD
33	0	143	0	143	NOC
34	0	150	0	150	NOC
35	0	150	0	150	NOC
36	0	150	0	150	NOC
37	0	150	0	150	NOC
38	0	150	0	150	NOC
39	0	150	0	150	NOC
40	0	150	32	150	MOD
41	0	150	0	150	NOC
42	0	150	0	150	NOC
43	0	150	0	150	NOC
44	0	150	0	150	NOC
45	0	150	0	150	NOC
46	0	150	0	150	NOC
47	0	150	0	150	NOC
48	0	109	0	95	MOD
49	0	150	0	150	NOC
50	0	150	0	150	NOC
51	5	150	37	150	MOD
52	0	150	0	150	NOC
53	0	150	0	150	NOC
54	0	150	0	150	NOC
55	0	150	0	150	NOC
56	0	150	0	150	NOC
57	1	150	1	150	NOC
58	0	150	0	150	NOC
59	0	150	0	150	NOC
60	0	150	0	150	NOC
61	0	150	0	150	NOC
62	0	150	0	150	NOC
63	0	150	0	150	NOC
64	0	150	0	150	NOC
65	0	150	0	150	NOC
66	0	150	0	150	NOC
67	0	150	0	150	NOC
68	0	150	0	150	NOC
69	0	150	0	150	NOC
70	0	150	0	150	NOC
71	75	150	75	150	NOC	no overlaps, qv trim not allowed
72	0	147	0	147	NOC
73	0	121	0	116	MOD
74	0	150	0	150	NOC
75	0	150	0	143	MOD
76	0	150	0	143	MOD
77	0	135	0	116	MOD
78	0	150	0	150	NOC
79	0	150	0	150	NOC
80	0	150	0	150	NOC
81	0	149	0	149	NOC
82	68	150	102	150	DEL
83	0	150	0	150	NOC
84	0	150	0	150	NOC
85	0	150	0	150	NOC
86	0	150	0	150	NOC
87	0	150	0	150	NOC
88	0	150	0	150	NOC
89	0	150	0	145	MOD
90	0	150	0	150	NOC
91	0	150	0	150	NOC
92	0	150	0	150	NOC
93	0	150	52	150	MOD
94	0	150	0	150	NOC
95	0	150	0	150	NOC
96	0	150	0	150	NOC
97	0	150	0	150	NOC
98	0	150	0	103	MOD
99	0	85	0	85	NOC
100	0	150	0	150	NOC
101	0	150	0	150	NOC
102	0	147	0	142	MOD
103	0	150	0	135	MOD
104	0	150	0	150	NOC
105	0	150	0	150	NOC
106	0	150	0	150	NOC
107	0	150	0	150	NOC
108	0	150	0	150	NOC
109	0	150	0	150	NOC
110	0	150	0	150	NOC
111	0	150	0	150	NOC
112	0	150	0	150	NOC
113	0	150	0	150	NOC
114	0	150	0	150	NOC
115	18	150	50	150	MOD
116	0	150	0	150	NOC
117	0	150	40	150	MOD
118	0	147	0	147	NOC
119	0	150	55	150	MOD
120	0	150	0	150	NOC
121	0	150	0	150	NOC
122	0	150	0	150	NOC
123	0	150	0	150	NOC
124	0	150	0	150	NOC
125	0	150	0	136	MOD
126	0	150	0	150	NOC
127	0	150	0	138	MOD
128	0	150	0	150	NOC
129	0	150	0	150	NOC
